City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
247,Solano,38.2333,-121.9511,94.51,36,0,14.97,US,clear sky
248,Kavieng,-2.5744,150.7967,81.05,79,100,11.95,PG,light rain
249,Baruun-Urt,46.6806,113.2792,69.28,51,97,9.53,MN,overcast clouds
250,Akyab,20.15,92.9,81.5,85,100,4.92,MM,light rain
251,Salalah,17.0151,54.0924,77.09,94,100,5.75,OM,overcast clouds
252,Vengurla,15.8667,73.6333,77.76,87,100,6.06,IN,overcast clouds
253,Porosozero,62.7191,32.727,63.82,69,51,3.27,RU,broken clouds
254,Norton Shores,43.1689,-86.2639,84.97,65,100,10.36,US,overcast clouds
255,Ajdabiya,30.7554,20.2263,78.28,54,0,14.56,LY,clear sky
256,Nanton,50.3501,-113.7687,85.82,30,6,7.45,CA,clear sky
257,Wanning,18.8003,110.3967,79.47,87,21,3.04,CN,few clouds
258,Port Dickson,2.5228,101.7959,79.02,81,72,8.08,MY,broken clouds
259,Mitu,1.1983,-70.1733,76.23,96,98,2.82,CO,overcast clouds
260,Takapau,-40.0333,176.35,41.74,73,100,6.96,NZ,overcast clouds
261,Kupino,54.3663,77.2981,59.58,84,2,11.23,RU,clear sky
262,Chuy,-33.6971,-53.4616,52.0,92,87,6.02,UY,overcast clouds
263,Shimoda,34.6667,138.95,77.11,88,7,6.89,JP,clear sky
264,Cluses,46.0625,6.575,78.53,77,0,3.89,FR,clear sky
265,Armidale,-30.5167,151.65,44.29,96,100,14.25,AU,light rain
266,Chicama,-7.8447,-79.1469,61.34,61,92,7.58,PE,overcast clouds
267,Charters Towers,-20.1,146.2667,53.53,91,2,7.92,AU,clear sky
268,Lyambir,54.2817,45.1249,57.83,96,100,13.44,RU,light rain
269,Piacabucu,-10.4056,-36.4344,73.47,79,71,6.73,BR,broken clouds
270,Nevers,46.9167,3.3333,67.55,58,2,2.98,FR,clear sky
271,Huescar,37.811,-2.5412,76.12,53,0,4.34,ES,clear sky
272,Norman Wells,65.282,-126.8329,66.24,68,75,3.44,CA,broken clouds
273,Port Lincoln,-34.7333,135.8667,54.55,71,100,20.31,AU,overcast clouds
274,Nanortalik,60.1432,-45.2371,50.31,76,2,12.88,GL,clear sky
275,Benguela,-12.5763,13.4055,68.07,84,76,4.54,AO,broken clouds
276,Kupang,-10.1667,123.5833,74.16,84,100,11.41,ID,overcast clouds
277,Yuanping,38.7153,112.7575,68.72,79,100,1.88,CN,overcast clouds
278,Bowen,-20.0167,148.2333,60.15,91,40,6.78,AU,scattered clouds
279,Pendra,22.7667,81.95,74.08,95,100,4.34,IN,overcast clouds
280,Galeana,24.8333,-100.0667,80.71,42,36,12.71,MX,scattered clouds
281,Bosaso,11.2842,49.1816,90.52,40,50,16.84,SO,scattered clouds
282,Ekhabi,53.5102,142.9671,54.54,91,100,13.0,RU,overcast clouds
283,Sao Filipe,14.8961,-24.4956,75.33,85,95,7.58,CV,overcast clouds
284,Caxito,-8.5785,13.6643,66.25,90,36,2.35,AO,scattered clouds
285,Umm Lajj,25.0213,37.2685,87.46,53,6,7.2,SA,clear sky
286,Rioblanco,3.5308,-75.6806,73.09,69,69,3.51,CO,broken clouds
287,Alofi,-19.0595,-169.9187,75.09,83,20,5.75,NU,few clouds
288,Mercedes,-34.6515,-59.4307,65.86,51,92,7.65,AR,overcast clouds
289,Namibe,-15.1961,12.1522,63.09,88,31,1.95,AO,scattered clouds
290,Oyama,36.3,139.8,82.58,94,96,4.79,JP,overcast clouds
291,Conceicao Do Araguaia,-8.2578,-49.2647,85.26,27,2,2.28,BR,clear sky
292,Katsuura,35.1333,140.3,78.55,90,51,14.52,JP,broken clouds
293,Jalingo,8.8833,11.3667,73.44,94,99,4.03,NG,overcast clouds
294,Nongan,44.382,125.1685,66.06,87,26,6.82,CN,scattered clouds
295,Georgiyevka,43.0369,74.7114,68.04,64,0,4.47,KZ,smoke
296,Lexington,37.9887,-84.4777,90.99,45,0,12.66,US,clear sky
297,Minas,-34.3759,-55.2377,50.67,89,100,5.3,UY,overcast clouds
298,Buala,-8.145,159.5921,80.58,81,94,4.14,SB,light rain
299,Rochegda,62.8,43.25,61.5,92,29,4.38,RU,scattered clouds
300,Paragominas,-2.9667,-47.4833,78.76,60,10,0.72,BR,clear sky
301,Charagua,-19.8,-63.2167,90.97,36,79,11.92,BO,broken clouds
302,Batagay-Alyta,67.8006,130.4114,51.3,73,86,2.01,RU,overcast clouds
303,Lensk,60.7253,114.9278,58.68,96,97,2.53,RU,light rain
304,Hede,33.7681,120.2517,71.83,93,0,4.92,CN,clear sky
305,Tarauaca,-8.1614,-70.7656,90.34,36,6,0.43,BR,clear sky
306,Cocorit,27.5833,-109.9667,98.94,35,3,4.05,MX,clear sky
307,Narsaq,60.9167,-46.05,62.82,75,16,9.73,GL,few clouds
308,Kyren,51.6828,102.1408,55.38,83,100,1.12,RU,overcast clouds
309,Aguimes,27.9054,-15.4461,75.83,57,20,27.63,ES,few clouds
310,Kletnya,53.3897,33.2171,58.12,93,67,9.19,RU,broken clouds
311,Yarovoye,52.9273,78.58,64.38,68,13,11.32,RU,few clouds
312,Saint Anthony,45.0205,-93.218,87.35,36,0,21.85,US,clear sky
313,Barcelos,41.5388,-8.6151,73.92,89,65,1.88,PT,broken clouds
314,Beringovskiy,63.05,179.3167,48.65,63,29,10.98,RU,scattered clouds
315,Gornopravdinsk,60.05,69.9,49.48,77,14,4.68,RU,few clouds
316,Labuhan,-6.8844,112.2051,75.24,84,94,9.4,ID,overcast clouds
317,Oktyabrskoye,43.0645,44.7417,66.34,88,100,2.24,RU,light rain
318,Kropotkin,45.4375,40.5756,60.21,59,2,6.89,RU,clear sky
319,Kalispell,48.1958,-114.3129,87.49,27,0,8.01,US,clear sky
320,Dingle,10.9995,122.6711,77.18,92,100,5.99,PH,overcast clouds
321,Nuuk,64.1835,-51.7216,57.81,62,75,18.41,GL,broken clouds
322,Moindou,-21.6924,165.677,75.38,81,50,8.59,NC,scattered clouds
323,Bukama,-9.2,25.85,75.07,42,34,2.75,CD,scattered clouds
324,Belyy Yar,53.6039,91.3903,55.29,88,0,0.0,RU,clear sky
325,Craig,40.5153,-107.5464,89.55,18,0,4.61,US,clear sky
326,Iqaluit,63.7506,-68.5145,42.53,93,100,5.75,CA,overcast clouds
327,Ourossogui,15.6064,-13.3211,81.34,73,100,7.47,SN,overcast clouds
328,Lovozero,68.005,35.0117,63.45,81,100,3.65,RU,overcast clouds
329,Boa Vista,2.8197,-60.6733,85.98,66,40,4.61,BR,scattered clouds
330,Brigantine,39.4101,-74.3646,95.2,65,75,13.8,US,broken clouds
331,Richards Bay,-28.783,32.0377,64.6,91,53,5.12,ZA,broken clouds
332,Isangel,-19.55,169.2667,78.08,80,4,13.71,VU,clear sky
333,The Valley,18.217,-63.0578,86.83,66,20,18.41,AI,few clouds
334,Mindelo,16.8901,-24.9804,78.35,65,75,14.97,CV,broken clouds
335,Qui Nhon,13.7667,109.2333,76.66,87,100,3.85,VN,overcast clouds
336,Okhotsk,59.3833,143.3,58.42,87,100,4.03,RU,overcast clouds
337,Bandarbeyla,9.4942,50.8122,75.67,84,24,28.03,SO,few clouds
338,Afua,-0.1567,-50.3867,78.37,86,83,5.3,BR,broken clouds
339,Seoul,37.5683,126.9778,74.8,86,75,4.61,KR,broken clouds
340,Rurrenabaque,-14.4413,-67.5278,89.49,62,40,4.61,BO,scattered clouds
341,Maceio,-9.6658,-35.7353,78.24,78,40,3.44,BR,scattered clouds
342,Batman,37.8874,41.1322,82.2,36,0,8.05,TR,clear sky
343,Geraldton,-28.7667,114.6,52.21,93,100,9.22,AU,overcast clouds
344,Kogon,39.7228,64.5517,78.84,34,0,2.3,UZ,clear sky
345,Waitati,-45.75,170.5667,46.8,85,100,2.35,NZ,overcast clouds
346,Paso De Carrasco,-34.8603,-56.0522,54.05,81,0,11.5,UY,clear sky
347,Vardo,70.3705,31.1107,57.18,88,100,6.91,NO,overcast clouds
348,Abu Kamal,34.4506,40.9171,90.18,23,0,13.71,SY,clear sky
349,Kemijarvi,66.7131,27.4306,62.6,77,95,5.53,FI,overcast clouds
